,Outlier_Mean,Inlier_Mean,Difference_Pct
Open,2963.404988606771,2714.025608526212,9.188541895003652
High,2988.099161783854,2729.1398218457944,9.48867983476633
Low,2948.5175018310547,2696.0101843147636,9.365963043662244
Close,2974.7533569335938,2711.7590514566295,9.698291790920583
Volume,4515489166.666667,4056883177.5700936,11.304392288940878
CPI,257.5011666666666,254.4716074766355,1.1905293561323023
Unemployment,8.658333333333333,5.588785046728973,54.923355629877335
M2_Money_Supply,15988.08333333333,14621.844859813085,9.343817326876698
GDP,20870.497,20618.404682242992,1.2226567556611925
